true_label,pred_label,confidence
Bus,Walk,0.7511016726493835
Bus,Walk,0.4435950219631195
Bike,Bus,0.5431296825408936
Bike,Walk,0.4306085705757141
Subway,Walk,0.2593425512313843
Bike,Car & taxi,0.4533033072948456
Bus,Bike,0.8158081769943237
Car & taxi,Bus,0.8567990660667419
Bus,Walk,0.7930806875228882
Train,Car & taxi,0.4143581688404083
Car & taxi,Bus,0.8756189346313477
Walk,Train,0.25253307819366455
Bike,Walk,0.780657172203064
Bike,Walk,0.6997291445732117
Bus,Car & taxi,0.9839973449707031
Bus,Car & taxi,0.7360307574272156
Bus,Walk,0.892272412776947
Walk,Bus,0.36890095472335815
Bike,Walk,0.937544047832489
Subway,Walk,0.5226950645446777
Bike,Walk,0.5666161179542542
Bike,Car & taxi,0.9773104190826416
Bus,Train,0.6305725574493408
Car & taxi,Bus,0.44576480984687805
Bus,Car & taxi,0.4611133933067322
Bike,Walk,0.4374758005142212
Walk,Bike,0.5101924538612366
Bike,Walk,0.9388706088066101
Car & taxi,Walk,0.3595530688762665
Bus,Car & taxi,0.7172194719314575
Bus,Walk,0.9355632066726685
Bus,Car & taxi,0.5978574156761169
Bus,Walk,0.45201820135116577
Bus,Train,0.6143807768821716
Bike,Walk,0.4863041341304779
Bus,Car & taxi,0.6576643586158752
Train,Car & taxi,0.5229241251945496
Bike,Walk,0.48889774084091187
Bus,Walk,0.8264895677566528
Bike,Car & taxi,0.3812671899795532
Bike,Train,0.5754218697547913
Walk,Car & taxi,0.8336780667304993
Bus,Car & taxi,0.9735866785049438
Bike,Walk,0.7387419939041138
Car & taxi,Bus,0.46887820959091187
Bike,Walk,0.5074403882026672
Bus,Car & taxi,0.7796664834022522
Bike,Walk,0.6697682738304138
Bus,Bike,0.46617183089256287
Walk,Train,0.5256641507148743
Bike,Walk,0.7143838405609131
Train,Subway,0.4353921413421631
Bus,Car & taxi,0.9646478891372681
Walk,Bus,0.29274317622184753
Bus,Walk,0.9756548404693604
Car & taxi,Walk,0.47995010018348694
Bus,Car & taxi,0.8225070834159851
Bus,Walk,0.9280092716217041
Subway,Bus,0.3068609833717346
Bike,Walk,0.5247334837913513
Bike,Walk,0.4953317642211914
Walk,Bike,0.5689573287963867
